kernel_id,LOC,BLC,UDF,I,EH,NVD,NEC,S,P,OPRND,OPRATOR,UOPRND,UOPRATOR,ID,LOCom,EAP,CW,ALID,MeanLCC,ALLC,KLCID,CyC,MLID,NBD,AID,CC,MC,MeanWMC,MeanLMC,H1,H2,H3,MW,LMC,PT,PT_bin,LOC_bin,NVD_bin,bal_group
21183324,34,0,0.0,4,0.0,0.0,7.0,0.0,16.0,81,47,58.0,20,227.0,8.0,0.7405182805921855,89.0,4.444444444444445,3.7777777777777777,46.05925925925926,6.407407407407407,1.0,16,9.5,64,9,3.0,120.33333333333331,9.333333333333334,1.0,0.0,0.0,361.0,28.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
662272,55,0,0.0,4,0.0,0.0,0.0,1.0,22.0,67,24,67.0,13,197.0,7.0,0.3805738183599269,43.0,9.11111111111111,6.111111111111111,53.96296296296296,4.461111111111111,1.0,27,18.2,56,9,8.0,155.875,15.375,2.0,3.0,2.0,1247.0,123.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
11496104,58,1,1.0,4,0.0,2.0,0.0,5.0,44.0,115,54,107.0,10,179.0,0.0,0.8167158463675239,0.0,5.4,11.6,26.35872053872054,3.5478260869565217,1.2,20,8.962962962962964,86,5,4.0,9.5,1.5,1.0,0.0,4.0,38.0,6.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
775029,59,1,0.0,2,0.0,0.0,0.0,6.0,35.0,101,48,94.0,27,384.0,25.0,0.8676121271490786,243.0,4.833333333333333,3.2777777777777777,48.51557239057239,7.461728395061728,1.0,23,15.5,49,18,18.0,93.94444444444444,4.277777777777778,6.0,1.0,0.0,1691.0,77.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
186408,19,0,0.0,4,0.0,0.0,0.0,1.0,6.0,27,20,27.0,9,104.0,8.0,1.8912868869163728,77.0,5.0,9.5,34.364583333333336,6.7727272727272725,1.0,12,5.8125,94,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
16310229,37,0,0.0,4,0.0,1.0,5.0,3.0,22.0,73,38,69.0,17,203.0,9.0,1.2451169103584427,109.0,3.642857142857143,2.642857142857143,27.55462184873949,4.288461538461538,1.1428571428571428,19,8.235294117647058,137,14,4.0,61.5,2.5,0.0,0.0,0.0,246.0,10.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
2689792,59,0,0.0,9,0.0,0.0,0.0,3.0,56.0,112,51,98.0,12,219.0,7.0,2.464108523016272,26.0,5.8,3.933333333333333,34.434444444444445,4.118518518518519,1.0666666666666669,21,4.0,35,15,15.0,8.266666666666667,1.0666666666666669,1.0,0.0,0.0,124.0,16.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
2593017,18,0,0.0,3,0.0,0.0,0.0,1.0,3.0,25,20,25.0,9,97.0,8.0,1.1352256243652734,77.0,4.0,9.0,28.089285714285715,6.45,1.0,11,6.214285714285714,89,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
806928,58,0,0.0,2,0.0,0.0,0.0,1.0,30.0,97,50,92.0,28,341.0,22.0,0.8676121271490786,230.0,5.125,3.625,46.9,6.769270833333334,1.0,26,10.0,39,16,17.0,99.82352941176472,4.941176470588236,6.0,1.0,1.0,1697.0,84.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
21899586,57,0,0.0,5,0.0,0.0,0.0,5.0,24.0,99,52,96.0,25,237.0,11.0,2.848250468143892,113.0,4.407407407407407,2.111111111111111,18.806100217864923,2.4829059829059825,1.0740740740740742,18,8.235294117647058,137,27,,,,,,,,,1,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
179028,7,0,0.0,1,0.0,0.0,2.0,1.0,6.0,19,10,19.0,6,27.0,0.0,0.4414253493243,0.0,3.0,1.75,19.875,3.291666666666667,1.25,9,4.0,14,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
642179,36,0,0.0,2,0.0,0.0,0.0,2.0,6.0,40,23,40.0,12,139.0,9.0,0.007209978198807,71.0,6.0,5.142857142857143,38.069160997732425,5.13265306122449,1.0,20,9.166666666666666,31,7,9.0,90.33333333333331,8.222222222222221,2.0,1.0,2.0,813.0,74.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
6754527,58,0,1.0,11,0.0,0.0,0.0,14.0,48.0,128,72,96.0,15,257.0,10.0,4.358358180071346,82.0,6.8,5.8,39.725399159663866,4.812380952380953,1.2,31,32.2,101,10,1.0,3.0,2.0,0.0,0.0,0.0,3.0,2.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
12878825,49,0,0.0,3,0.0,0.0,0.0,3.0,45.0,134,325,96.0,37,242.0,9.0,0.9420507125670924,109.0,4.0,4.9,34.40563725490196,4.287179487179487,1.2,11,13.0,137,10,,,,,,,,,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
4797661,24,0,0.0,5,0.0,1.0,0.0,6.0,11.0,25,11,25.0,6,81.0,6.0,1.0118356672997515,35.0,5.5,6.0,27.83333333333333,3.935714285714286,1.0,17,3.8,29,4,7.0,28.142857142857142,4.285714285714286,1.0,2.0,0.0,197.0,30.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
5153120,24,0,0.0,1,0.0,0.0,0.0,3.0,9.0,38,17,33.0,9,97.0,5.0,0.4414253493243,47.0,5.6,4.8,37.02,4.455,1.0,18,12.0,43,5,1.0,5.0,1.0,0.0,1.0,0.0,5.0,1.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
12214192,10,0,0.0,0,0.0,0.0,0.0,0.0,4.0,18,10,12.0,5,22.0,0.0,0.0,0.0,2.0,10.0,7.8,2.2,1.0,5,0.0,22,1,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
40679197,37,0,3.0,2,0.0,5.0,0.0,0.0,30.0,147,82,136.0,27,250.0,0.0,0.3830743331083441,0.0,6.0,2.466666666666667,47.13888888888889,5.511111111111111,0.9333333333333332,21,8.2,92,15,15.0,51.86666666666667,2.533333333333333,0.0,4.0,0.0,778.0,38.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(4.0, 7.0]",
